english,french
"[low, high]","[inférieure,  supérieure]"
A27,Z27
A2W,Z2O
AAV,VAM
Abundance,Abondance
Abyssal Skate,raie abyssale
Age,Âge
Age (years),Âge (années)
Age at 50% maturity,Âge à 50% maturité
Age at maturity,Âge à maturité
Age frequencies,Fréquences d'âge
Age structures,Structure par âge
Ageing codes,Codes de vieillissement
Ageing precision,Précision de al détermination de l'âge
Alaska Skate,raie de l’Alaska
Aleutian Skate,raie aléoutienne
Annual mean weight,Poids moyen annuel
Apr,avr
April,Avril
Area,Zone
Area 2 West,Zone 2 ouest
Area 27,Zone 27
Arrowtooth Flounder,plie à grande bouche
Aug,août
August,Aout
Aurora Rockfish,sébaste aurore
Average Annual Variability,Variabilité annuelle moyenne
Average F,F moyen
Average M,M moyen
Base model,Modèle de base
Basis,Fondament
Basking Shark,requin-pèlerin
Benchmark,Point de repère
Benchmarks,Points de repère
Big Skate,raie biocellée
Bigfin Eelpout,lycode à grandes nageoires
Bigmouth Sculpin,hémitriptère à grande bouche
Biological,Biologique
Biomass,Biomasse
Biomass estimate (kg/km^2),Estimation de la biomasse (kg/km2)
Biomass estimate divided by geometric mean,Estimation de la biomasse/moyenne géométrique
Black Eelpout,lycode noire
Black Rockfish,sébaste noir
Blackbelly Eelpout,lycode à ventre noir
Blackfin Sculpin,chabot à nageoires noires
Blackgill Rockfish,sébaste blackgill
Blacktail Snailfish,limace à queue noire
Blue Shark,requin bleu
Bluntnose Sixgill Shark,requin griset
Bocaccio,sébaste bocace
Both sexes,les deux sexes
Bottom trawl,Chalut de fond
Bound,Limite
Bounds,Limites
"Bounds [low, high]","Limites [inférieure, supérieure]"
British Columbia,Colombie-Britannique
Broad Skate,raie large
Brown Cat Shark,holbiche brune
BT,CF
Buffalo Sculpin,chabot-bison
Butter Sole,plie à écailles régulières
by,par
C-O Sole,C-O sole
C O Sole,C O sole
Cabezon,chabot marbré
California Grenadier,grenadier de Californie
Canary Rockfish,sébaste canari
Catch,Prise
Catch rate (fish/effective skate),Taux de prise (poisson/raie réelle)
Catchability,La capturabilité
Cautious zone,Zone de prudence
CC,CC
Central and Arctic Region,Région du Centre et de l'Arctique
Central Coast,Côte centrale
Chilipepper,sébaste de Goode
China Rockfish,sébaste à bandes jaunes
Coastwide,Ensemble de la côte
Coefficient,Coefficient
Commercial,Commercial
Commercial bottom trawl CPUE,PUE chalut de fond commercial
Commercial catch,Prises commerciales
Commercial CPUE (kg/hour),CPUE commerciales (kg/heure)
Commercial H & L CPUE,PUE commercial H & L
Commercial hook and line CPUE,PUE des pêches commerciales à l'hameçon et à la ligne
Commercial samples,Échantillons commerciaux
Commercial specimen counts,Décompte des spécimens du commercial
Commercial trawl catch per unit effort (CPUE),Captures par unité d’effort (CPUE) du chalutage commercial
Commercial trawl CPUE,PUE chalut commercial
Common name,Nom commun
Conf.,Conf.
Confidence,Confiance
Confidence interval,Intervalle de confiance
conM,MC
Conservation,Conservation
Copper Rockfish,sébaste cuivré
Correlation,Corrélation
COSEWIC Status,Désignation du COSEPAC
COSEWIC Status Report,Rapports de situation du COSEPAC
CPUE,PUE
Criterion,Critère
Critical zone,Zone critique
Cumulative Effects Assessment Steps,Étapes de l’évaluation des effets cumulatifs
Curlfin Sole,plie à nageoires frisées
Darkblotched Rockfish,sébaste tacheté
Data,Données
Data type,Type de données
DDM,MLD
Deacon Rockfish,sébaste Deacon
Dec,dec
December,décembre
Deepsea Sole,plie de profondeur
Definition,Définition
Density,Densité
Depletion,Déplétion
Depth,Profondeur
Design based,Axé sur la conception
Deviation from expected biomass in log space,Écart par rapport à la biomasse prévue dans l’espace de relevé
DIM,MID
Discarded,Rejetées
Distance,Distance
Distribution,Distribution
Dive,Plongée
Dive survey,Relevé de plongée
Dover Sole,limande sole du Pacifique
Dusky Rockfish,sébaste cilié
Dwarf Wrymouth,terrassier nain
Easting,Abscisse
Effective harvest rate,Taux de récolte effectif
Embryos,Des embryons
End year,Fin de l'année
Endangered,En voie de disparition
