english,french
fish,poisson
spawning biomass,biomasse reproductrice
herring,hareng
spawning stock biomass,biomasse reproductrice
Jan,jan
Feb,fev
Mar,mar
Apr,avr
May,mai
Jun,juin
Jul,juil
Aug,août
Sep,sep
Oct,oct
Nov,nov
Dec,dec
biomass,biomasse
temperature,temperature
vulnerable biomass,biomasse vulnerable
MCMC,MCCM
MSY,RMS
BT,CF
MW,CP
GMA,ZGPF
sex,sexe
male,mâle
female,femelle
mean,moyenne
median,médiane
equipment,équipement
gear,engin
fishing gear,engin peche
year,année
spawn index,indice d'oeuf
Reference point,Point de référence
Catch,Prise
Catch,Capture
CPUE,PUE
weight-at-age,poids à l'âge
weight at age,poids à l'âge
age,âge
