"english","french","inuktitut"
"A27","Z27",
"A2W","Z2O",
"age","âge",
"Age","Âge",
"Apr","avr",
"Area 2 West","Zone 2 ouest",
"Area 27","Zone 27",
"Aug","août",
"biomass","biomasse",
"British Columbia","Colombie-Britannique",
"BT","CF",
"Catch","Prise",
"Catch","Capture",
"CC","CC",
"Central Coast","Côte centrale",
"CPUE","PUE",
"Dec","dec",
"Density","Densité",
"Dive","Plongée",
"Eastings","Abscisses",
"Effective harvest rate","Taux de récolte effectif",
"equipment","équipement",
"Feb","fev",
"female","femelle",
"fish","poisson",
"fishing gear","engin peche",
"gear","engin",
"GMA","ZGPF",
"GMA","ZGPF",
"GMU","GGPF",
"Haida Gwaii","Haida Gwaii",
"herring","hareng",
"HG","HG",
"Instantaneous natural mortality	Mortalité naturelle instantanée","",
"Jan","jan",
"Jul","juil",
"Jun","juin",
"Log recruitment deviations","Log des écarts du recrutement",
"male","mâle",
"Mar","mar",
"May","mai",
"MCMC","MCCM",
"mean","moyenne",
"median","médiane",
"MSY","RMS",
"MSY","RMS",
"MW","CP",
"Northings","Ordonnées",
"Nov","nov",
"Number of age-2 recruits","Nombre de recrues d’âge 2",
"Oct","oct",
"Other","Autre",
"Pacific Ocean","Océan Pacifique",
"Pacific Ocean Perch","sébaste à longue mâchoire",
"PRD","DPR",
"Prince Rupert District","District de Prince Rupert",
"Projection: BC Albers (NAD 1983)","Projection : BC Albers (NAD 1983)",
"Proportion","Proportion",
"Redbanded Rockfish","sébaste bandes rouges",
"Redstripe Rockfish","sébaste à raie rouge",
"Reference point","Point de référence",
"RoeGN","RogueFM",
"RoeSN","RogueSN",
"SB","BSR",
"Scaled abundance","Abondance mise à l’échelle",
"Sep","sep",
"sex","sexe",
"Shortspine Thornyhead","sébastolobe à courtes épines",
"SoG","DG",
"spawn index","indice du frai",
"spawning biomass","biomasse reproductrice",
"Spawning biomass","Biomasse du stock reproducteur",
"Spawning biomass","Biomasse du stock reproducteur",
"Spawning biomass production","Production de la biomasse du stock reproducteur",
"spawning stock biomass","biomasse reproductrice",
"Strait of Georgia","Détroit de Georgie",
"Surface","Surface",
"Survey period","Période du relevé",
"temperature","temperature",
"vulnerable biomass","biomasse vulnerable",
"Walleye Pollock","goberge",
"WCBI","COIV",
"weight-at-age","poids à l'âge",
"Weight-at-age (kg)","Poids à l’âge (kg)",
"weight at age","poids à l'âge",
"West Coast of Vancouver Island","Côte Ouest de l’île de Vancouver",
"Widow Rockfish","veuve",
"year","année",
"Year","Année",
"Yelloweye Rockfish","sébastes aux yeux jaunes",
"Yellowmouth Rockfish","sébaste à bouche jaune",
